gene,mis_z,lof_z,syn_z,oe_mis,oe_lof,label
MED13,2.6232,9.1935,-1.3765,0.77921,0.0,1.0
NIPBL,5.5737,11.286,-0.035119,0.58688,0.0066527,1.0
SMC3,6.3999,8.2618,-0.64776,0.28251,0.0,1.0
CNOT1,7.2546,10.279,-0.5141,0.4329,0.0079978,1.0
RLF,3.462,7.9294,-0.22518,0.68766,0.0,1.0
PCF11,2.6592,8.0014,-1.205,0.73265,0.0,1.0
FNDC3B,1.8745,7.7425,-0.38908,0.79911,0.0,1.0
TAF1,5.486,7.6921,-1.0712,0.43565,0.0,1.0
RSF1,1.7661,7.6318,0.29786,0.81933,0.0,1.0
NCKAP1,4.2701,7.5981,0.22117,0.50127,0.0,1.0
KDM2A,5.3101,7.5023,-0.40958,0.43371,0.0,1.0
BRD4,3.5856,7.2671,-3.6189,0.64445,0.0,1.0
HELZ,3.301,9.1037,0.23499,0.71301,0.010152,1.0
FBN1,5.0644,11.456,0.22115,0.6448,0.018895,1.0
XPO1,6.0107,7.0978,-1.5725,0.27741,0.0,1.0
PRR12,2.9765,7.0372,-3.2896,0.7648,0.0,1.0
USP9X,6.4105,8.8633,0.4066,0.40761,0.010698,1.0
POLA1,1.9947,7.0365,-0.91111,0.75166,0.0,1.0
SYNGAP1,5.6047,6.968,1.6537,0.44097,0.0,1.0
PRKDC,2.7576,12.795,-1.0901,0.82989,0.024934,1.0
HDAC4,2.926,7.0211,-2.6701,0.69262,0.0,1.0
SMG1,3.2976,11.885,-2.7601,0.7789,0.023202,1.0
ZC3H4,0.65604,6.8501,-4.3711,0.93465,0.0,1.0
COL5A1,2.0682,9.749,-1.8199,0.82708,0.017445,1.0
SMARCA4,6.8459,8.4809,-1.9956,0.40437,0.011662,1.0
TNPO1,4.3261,6.7739,0.33276,0.4465,0.0,1.0
AGO1,5.6761,6.7075,-0.011092,0.31473,0.0,1.0
ARHGAP35,4.1633,6.6838,0.15291,0.59861,0.0,1.0
LRP1,8.2463,14.09,2.2214,0.57297,0.032397,1.0
TOP1,4.4734,6.5736,0.70971,0.37928,0.0,1.0
TRIP12,4.6402,9.338,-0.76299,0.59991,0.018956,1.0
KMT2E,1.4204,8.1113,-2.5963,0.8719,0.012722,1.0
HCFC1,5.6341,6.4966,-2.0753,0.46936,0.0,1.0
UBTF,4.7489,6.5451,-1.4162,0.37555,0.0,1.0
HUWE1,8.8732,11.175,0.68398,0.40105,0.026088,1.0
KDM3B,4.9789,8.1703,0.24468,0.54722,0.012543,1.0
TRRAP,8.173,12.593,-2.454,0.51961,0.030535,1.0
GRIN2B,5.4168,6.483,-1.9986,0.48103,0.0,1.0
USP7,5.648,8.0351,-2.4429,0.36226,0.012958,1.0
ATP1A3,6.3327,6.3973,-1.3247,0.29287,0.0,1.0
ASH1L,3.4699,10.125,1.2372,0.7532,0.023938,1.0
ANKRD17,5.3588,9.1297,0.18149,0.59073,0.019796,1.0
SMC1A,6.4479,6.4253,0.1895,0.19623,0.0,1.0
NPEPPS,3.9845,6.4177,0.89282,0.47911,0.0,1.0
CHERP,4.2456,6.4216,-0.010139,0.49972,0.0,1.0
MED13L,3.691,9.008,-0.19602,0.69999,0.020314,1.0
RPRD2,2.1188,6.3099,0.37331,0.78796,0.0,1.0
KMT2A,6.2276,11.381,2.2361,0.61462,0.031118,1.0
CREBBP,3.8991,9.8253,-4.8429,0.70864,0.025349,1.0
SF3B1,7.6987,7.7609,0.28018,0.19478,0.013864,1.0
EIF3B,1.8208,6.186,-3.9666,0.75396,0.0,1.0
PPFIA1,1.0607,7.6853,0.82756,0.88692,0.01413,1.0
ZSWIM6,4.1751,6.166,1.2768,0.50875,0.0,1.0
PRPF3,3.8479,6.1198,0.57307,0.43524,0.0,1.0
KAT6A,2.0718,8.6737,0.039652,0.8258,0.021841,1.0
KMT2B,3.4255,9.52,-4.2755,0.75854,0.026915,1.0
SIN3A,4.3926,7.496,0.19337,0.53836,0.014832,1.0
CHD2,5.2052,9.4983,0.71436,0.53257,0.027031,1.0
ARID1A,3.6582,8.5475,-1.2737,0.69981,0.022463,1.0
SCN1A,5.2206,8.5198,0.87573,0.55103,0.022602,1.0
MED12,6.5797,8.5292,1.2454,0.38205,0.022555,1.0
TJP1,1.5417,8.5153,-0.29766,0.86024,0.022625,1.0
SPEN,2.8932,10.198,-0.32276,0.82093,0.03101,1.0
WDFY3,5.8174,12.101,-0.35773,0.62316,0.03799,1.0
HDAC6,3.2915,5.9451,0.33723,0.58158,0.0,1.0
EHMT1,1.1633,7.4206,-3.1692,0.88468,0.015126,1.0
JMJD1C,1.513,9.3508,-1.8078,0.8815,0.027844,1.0
